,# webapi calls,,,,,# webapi calls >1s,,,,,# webapi calls >3s,,,,
Day,Node1,Node2,Node2,Total,,Node1,Node2,Node3,>1s total,,Node1,Node2,Node3,>3s total,
9/1/2019,60293,57961,58842,177096,,336,462,349,1147,,30,11,5,46,
9/2/2019,60321,60081,57581,177983,,324,422,328,1074,,12,21,14,47,
9/3/2019,60727,64722,62741,188190,,1232,1246,1828,4306,,616,274,1096,1986,
9/4/2019,64023,67845,60709,192577,,1357,1196,1404,3957,,738,271,709,1718,
9/5/2019,66583,65058,62359,194000,,1214,1306,1394,3914,,671,611,849,2131,
9/6/2019,63478,62072,69140,194690,,1126,1288,1674,4088,,575,563,1030,2168,
9/7/2019,60251,61312,57517,179080,,51,43,51,145,,12,5,17,34,
9/8/2019,55785,56356,59908,172049,,67,73,61,201,,37,28,27,92,
9/9/2019,59214,66116,60974,186304,,464,201,281,946,,372,118,199,689,
9/10/2019,65181,62974,65100,193255,,659,362,646,1667,,528,256,526,1310,
9/11/2019,66763,69107,60113,195983,,749,656,1014,2419,,613,539,900,2052,
9/12/2019,65102,64177,64940,194219,,454,340,475,1269,,305,153,342,800,
9/13/2019,66138,66915,65253,198306,,690,444,285,1419,,505,168,119,792,
9/14/2019,59729,58012,64748,182489,,78,122,129,329,,27,15,15,57,
9/15/2019,57739,57178,60497,175414,,57,94,53,204,,16,15,13,44,
9/16/2019,61057,66479,67941,195477,,626,764,1122,2512,,511,602,988,2101,
9/17/2019,62009,71737,63994,197740,,763,1320,709,2792,,664,1126,592,2382,
9/18/2019,64535,63284,64081,191900,,488,391,461,1340,,372,237,338,947,
9/19/2019,60868,66117,65282,192267,,510,269,412,1191,,414,160,292,866,
9/20/2019,63371,68253,62943,194567,,586,323,329,1238,,453,204,216,873,
9/21/2019,63186,63156,58866,185208,,51,89,76,216,,10,19,16,45,
9/22/2019,59809,63712,54746,178267,,27,83,50,160,,2,5,8,15,
9/23/2019,58341,62702,57271,178314,,638,448,334,1420,,486,307,185,978,
9/24/2019,69774,70310,59001,199085,,2014,1916,1678,5608,,1768,1697,1468,4933,
9/25/2019,69622,66771,65934,202327,,533,934,970,2437,,393,818,768,1979,
9/26/2019,63725,67072,66873,197670,,403,532,350,1285,,227,356,192,775,
9/27/2019,69307,61418,65738,196463,,254,543,386,1183,,124,426,226,776,
9/28/2019,59997,61552,61345,182894,,59,68,83,210,,8,6,8,22,
9/29/2019,56459,62753,59205,178417,,55,57,67,179,,7,5,6,18,
9/30/2019,64093,66893,65760,196746,,534,845,982,2361,,400,689,758,1847,
10/1/2019,66076,69640,75956,211672,,2533,3355,3586,9474,,2217,3075,3193,8485,
10/2/2019,66796,66784,68720,202300,,1333,947,2208,4488,,1006,788,1989,3783,
10/3/2019,64377,65467,66281,196125,,258,384,428,1070,,163,284,299,746,
10/4/2019,65196,61848,62310,189354,,168,592,189,949,,93,493,95,681,
10/5/2019,58077,57916,61763,177756,,59,49,67,175,,11,7,2,20,
10/6/2019,57783,56785,58990,173558,,49,47,47,143,,6,1,2,9,
10/7/2019,59031,65768,63400,188199,,493,1123,252,1868,,364,992,131,1487,
10/8/2019,59150,67721,64395,191266,,670,968,714,2352,,539,817,540,1896,
10/9/2019,63059,64048,60904,188011,,2841,2008,1617,6466,,2579,1776,1321,5676,
10/10/2019,63603,61498,62495,187596,,1761,1514,1349,4624,,1354,1176,948,3478,
10/11/2019,59793,62352,64077,186222,,4209,1043,1564,6816,,3638,666,994,5298,
10/12/2019,60873,58027,57824,176724,,334,184,359,877,,54,19,24,97,
10/13/2019,58014,61818,51528,171360,,226,455,244,925,,12,284,12,308,
10/14/2019,60199,65390,58756,184345,,2034,1785,1761,5580,,1527,1319,1260,4106,
10/15/2019,59480,68156,60043,187679,,3136,3990,3236,10362,,2520,3204,2440,8164,
10/16/2019,62244,61527,61485,185256,,3909,3232,2991,10132,,3241,2603,2179,8023,
10/17/2019,59643,63851,59893,183387,,3340,3146,2741,9227,,2648,2529,2020,7197,
10/18/2019,43671,45663,45640,134974,,2139,2485,2139,6763,,1589,1961,1462,5012,
10/19/2019,44705,39226,41020,124951,,256,423,800,1479,,48,261,545,854,
10/20/2019,47011,37373,37563,121947,,202,145,211,558,,23,43,17,83,
10/21/2019,44009,40295,44428,128732,,804,428,712,1944,,210,36,33,279,** Due to in influx immediately after app server startup. Only 35 if you remove the first 5 minutes of uptime
10/22/2019,50620,42798,47551,140969,,733,481,584,1798,,5,7,17,29,
